Text,Sentiment,cleaned_text
c two daily  bull flags on top of each other=bullish still  ,1,c two daily bull flag top otherbullish still
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,1,ng traditional point figure bullish signal multiyear high
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,1,jpm closedsma mondayu know ruleslarge cup n handlestill bullish
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,1,eog ascending triangle original target extension eps feb th position swing
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1,aapl daily broke downtrendfrom closing price w v pattern back play target
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,-1,phm pultegroup option bear bet million move april
BAC In a 11.97 for a trade,1,bac trade
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,-1,short setup displaying relative weakness ao coh pay bwd dt shd wtw p prepare short stall es_f
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1,amzn monetize electronics make traffic marketplace aap goog wake say didnt buy ebay
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",1,cvi starting clean book making first buy yr entry stop
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,1,sam cheer temporary solution economic woe entry stop
SK to the GAVE!,-1,sk gave
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,-1,ovti ttm ending oct negative million operational cash flow decline v yoy ttm ending oct
AAP and GOOG should respond positively to good jobless claims numbers,1,aap goog respond positively good jobless claim number
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,1,analyst price target earnings target coming downexacty want see prior aap reporting
user Nice! Color me an INTC bull as well!,1,user nice color intc bull well
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",1,head p aa earnings es week away tho season doesnt eay begin cranking til w g jpm ebay et al
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",1,trade idea buy wo market target cut
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1,trade idea buy dc market target cut
GOOG looks all set to make new ATH. Now before or after E is the unknown.,1,goog look set make new ath e unknown
GOOG trade this one long verse 10sma  ,1,goog trade one long verse sma
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",1,fnf ong trailing stop prior stop
"FOD should see a solid move up tom, system predict nice green candle.",1,fod see solid move tom system predict nice green candle
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,1,year fitness health appsthe winner gynormous speculation run high nke
It's time to invest in MSFT COMPQ   ,1,time invest msft compq
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",1,new post short make dime ongs make dollar aap spx qqq p
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,1,nbelieveable payment trend vcs chasing easily played public market ebay v mastercard time high
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,1,watch list stock triggered today oex agnx tv vbd xide ppc exp onty bmn f wk chmt fbc isi aig
Nice Bull flag breakout here OC #technology #software  ,1,nice bull flag breakout oc technology software
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,1,setup alert went bonkers todayone many got triggeredcuphandle breakout pfe
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,1,host mostcongrats cloud today ax user alltime high wow
X Did .S. Steel Just Breakout?  MT too,1,x steel breakout mt
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,1,dndn broken clear resistanc level heavy volume could headed much higher
EXPE looks good for higher prices  ,1,expe look good higher price
apc weekly setting up long.  ,1,apc weekly setting long
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,1,going morning long aap call option goog call jan th expiration
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,1,es_f path higher unthreatened unless support fails see resistance spx stock
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,1,monitor lineprice dynamic stock closed dec line new high price mho tsm ipgp eqix bc bdc ash
DDD IDCC continue higher,1,ddd idcc continue higher
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",1,hoped pick ost today look like im day late nice move morning
GPS wow that wa s a fast fast fade...,-1,gps wow wa fast fast fade
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,1,amzn going go near market behaves week
Huston we have a GEEN AAP,1,huston geen aap
P long 9.55,1,p long
HN breakout...but 3rd day up so look for pullback to enter long.  ,1,hn breakoutbut rd day look pullback enter long
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,1,ng ascend triangle much like f x breakout exten target fib subjective
KCG ... things that make you go hmmmm?  ,1,kcg thing make go hmmmm
VNG - Huge  news from patent attorney Dan avicher  ,1,vng huge news patent attorney dan avicher
NG nhod - check the weekly - target previous lows 2006 :),1,ng nhod check weekly target previous low
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,1,ng nhod see check weekly target previous low
AIG American International Group Option Traders bet on 4% down move by next Friday  ,-1,aig american international group option trader bet move next friday
P out balance +.32,1,p balance
VNG buys vs. Sells?,1,vng buy v sell
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,1,bac since consolidation level could close market stable pm imho
VNG Parabolic moves are a comin',1,vng parabolic move comin
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,-1,new sony preowned block tech patent unearthed sne gme profit pre owned last one turn light
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",1,liked v love wynn entry new target yesterday nice
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,-1,user spx wave iv would point lower key es_f hod neckline bearish
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",1,ddd consolidating strong move previous day next buy point volume holding
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,1,vng mil share short plus long buying massive vng short squeeze thought story dead avicher kill short thesis
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",-1,wow good bk user sale nook holiday
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,1,ac watch list volume pick full day average day bounce
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",-1,new wightwatchers ad fun light regular people interesting still dont trust wtw position
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,1,amzn holding well next buy point clear upper trend line heavy volume
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,1,exactly want see follow thru day breaking new high volume
ZCS user There's your buying,1,zcs user there buying
AAP SPY no more QE for 2013. Now bring the Geithner.,-1,aap spy qe bring geithner
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,-1,extended stock market unexpected news fed minute esd panicky es_f nq_f
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",-1,spy ncle ben needed spice thing little aap people bored wake
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,-1,aap might close low day bear control descending trendline watch
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,-1,fan seeking im adding synthetic short add
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",1,cwst low day near high day watchn bout minimal risk
All of the above: gme Gamestop short targets  spy,-1,gme gamestop short target spy
time to get out of the #cloud stocks VMW CM,-1,time get cloud stock vmw cm
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,1,bac keep overniight mmy po bin premarket tmorrow
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,1,polk expects new vehicle egistrations million polk f gm think low
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,1,bullish market also talked trend scty ost angi fio panw jcp p yep mnst gpn show
BAC what happens next?  ,-1,bac happens next
KCG someone bought 3.22k 4 Jan 18 Calls....,1,kcg someone bought k jan call
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,1,man didnt know skippy made thiswould thrown jar h hormel
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",1,big move bond today month high rate still going lower zn_f could get truly ugly good nfp number spy tt
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,1,market wrap video addition watch ist including bcei bji cee e son sqnm nx yep
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,1,maybe vrng asked judge royalty became risky goog deal want settle
BJI Over 35.53 if good volume  ,1,bji good volume
CEE Over 35.12  ,1,cee
SQNM  Over 5.05  ,1,sqnm
NX On flag break  ,1,nx flag break
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,1,system brings nextgen consumer printing ce ddd
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,-1,aap top april aston kutcher star job kinda like facebook social network came fb
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",1,vng w macd turning signal line vng could post nice rally current level
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,-1,pi q q operational cash flow mo million decline v mo year ago
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,1,bbby q q operational cash flow million increase v year ago q improvement q q
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,1,di mo operational cash flow million increase million vsmos year ago increase
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1,q q mo operational cash flow million v neg mil mo year ago
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,1,q operational cash flow neg million v year ago q negative million million improvement
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",1,quiet carl icahn bullish nfx short paranoid every close get acquired think aapl msft amzn fb
I am an aapl bull but cannot break this trend line in OBV   ,-1,aapl bull break trend line obv
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,1,user phantom ive calling ever since start thing given kcg
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,1,nx watch list small flag volume ave full day good volume
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,1,goog poised clear next resistance buy add area watch action volume closely
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,1,gdp watch list slightly line day ema light volume ave full day
"Took some profits off DDD, will add if breaks 60 on volume.",1,took profit ddd add break volume
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,1,chk im looking small risk position call scalp maybe swing xe watch
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",1,onty holder would hold raise ask could really pop going climb slowly regardless
EOG PXD OAS #energyswag,1,eog pxd oas energyswag
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,-1,aap moving volume couldnt cope descending trend line trend still perhaps impossible
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,-1,aap ema continue work aap making lower high maco sense
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",-1,went short spy yesterday picked aap instead still think market need move bit resume move upside
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,-1,aap people realistic market undecided apple earnings lift cloud good might eay see reversal
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,-1,watch close carefully decide whether ong shot aap shot
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",1,jcp keep eye triangle big short int report feb cup handle dt ong
sold a little goog ...first time in a while,1,sold little goog first time
Nice cup with handle breakout on MCA,1,nice cup handle breakout mca
FAF new highs.,1,faf new high
SPY giving AAP the finger. We don't care about you anymore lol,-1,spy giving aap finger dont care anymore lol
The Smith&Corona doing ok. AMZN,1,smithcorona ok amzn
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",1,va ong trailing stop stop
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,-1,amzn alert update last minute push tried shake put hanging
AAP volume higher today than monday. Keep that in mind.,1,aap volume higher today monday keep mind
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",1,hba ong trailing stop prior stop
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",1,key panic aap domain twitchy day trader robot long term hold fundamental
NVDA 4 hour - love to see the vol explode.   ,1,nvda hour love see vol explode
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,1,vng take hard look goog ftc settlement patent ftc making goog play nice vng make sense
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,1,worried gone oco call goog door step nearly move
VNG its crazy that anyone listens and trades off this tool.,1,vng crazy anyone listens trade tool
GOOG  is getting fueled by AAP's reversal.,1,goog getting fueled aaps reversal
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,-1,user make bby offer shave offer price bid went matter month
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,1,nvda answer question entry add red candle today ove flag
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",1,aap lot bid feb call might push stock create support delta option
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",-1,wpi short candidate list missed got started short today
MYE breaking out,1,mye breaking
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,-1,short ht sma stop high day first target second target gap fill
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,1,qcom introduces streamboost average home connects seven device internet
NVDA love to see momo this next week like previous histogram bars noted.   ,-1,nvda love see momo next week like previous histogram bar noted
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,-1,hma unusual option activity trader buy k jan put short term bear play
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th",1,adbe option trader buy feb c oi bet stock feb th
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",-1,nvda ooks bullish must stay closing basis monthly eps say
SQNM from watch list over line on volume of 86% of ave full day  ,1,sqnm watch list line volume ave full day
HOTT Failed breakout?  ,-1,hott failed breakout
ZN_F ticking up.. I'd be a seller of SDJPY here (*if I weren't already)...,-1,zn_f ticking id seller sdjpy werent already
"INO Wow, nice accumulation today, heavy...",1,ino wow nice accumulation today heavy
ZNGA Fat juicy Short back to lower levels as it closes Gap  2.72?  ,-1,znga fat juicy short back lower level close gap
GDOT nice bounce from its 50SMA. ooks ready to test the recent highs  ,1,gdot nice bounce sma ooks ready test recent high
HMA ooking for 10's; headed higher!  ,1,hma ooking headed higher
"SPF ooking for 9's, headed higher with lower rates.  ",1,spf ooking headed higher lower rate
"GS JPM XF HOD, they are hungry for stocks out there... SPY",1,g jpm xf hod hungry stock spy
CHK weekly bullish engulfing   ,1,chk weekly bullish engulfing
GS looks good heading into next week.,1,g look good heading next week
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,1,aap know ipad mini stock everywhere going different store none em stock
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject  ,1,goog explodes aapl implodes minte user vid year ago mark nailing subject
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET",1,kkd krispy kreme doughnut inc ic xchange conference ive et
Picked up FS on pullback due to downgrade. Held support to close week. First PT 37.30  ,1,picked f pullback due downgrade held support close week first pt
"user: I've been picking this one for a while, but I'm calling KKD as the next food company to make a DPZ like run in TWENTY13.",1,user ive picking one im calling kkd next food company make dpz like run twenty
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",-1,znga still show red dead enko view pf box size
"GS enko view of GS, PF Box size = 5 showing potential to break to 175  ",1,g enko view g pf box size showing potential break
"NVDA enko view showing red and dead, need 14 or more for a long & less than 13 for a short  ",-1,nvda enko view showing red dead need long less short
"CSX enko view, PF Box size = 1,  VEY bullish above 21, coal stocks confirming move on rails.  ",1,csx enko view pf box size vey bullish coal stock confirming move rail
GOOG And on enko w/ a PF Box size of 50 it looks like a failed breakout  ,-1,goog enko w pf box size look like failed breakout
user At 155 for GS but very bullish on fins as rates are low = The FED Put!,1,user g bullish fin rate low fed put
user ZNGA I use lagging indicators on lagging stocks ;),-1,user znga use lagging indicator lagging stock
"GOOG, I like it with a close above 744.96",1,goog like close
FS b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,1,f bo bull flag heavy vol etest support today light vol short float
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,1,msft gap close continues base si rising nice pickup w stop major support pt
Financials continue ripping. Easy money. C approaching 43 PT  ,1,financials continue ripping easy money c approaching pt
VS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup  ,1,v follow throughs dma crossing dma trading ma great setup
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",-1,user bac yeah made easy profit slashing job close winwin sale
New buys today from watch list all did well  NX 20% SONS YEP  BCEI  GDP  AY and SQNM Total triggers this week 39 - a big week,1,new buy today watch list well nx son yep bcei gdp ay sqnm total trigger week big week
"SBX  #SI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",1,sbx si earththis kind stuff make u perk sorrybut go onbullish five wave
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",1,say brainier ong sbac stock feb collar protection
Anyone can say how much svu would go even if the deal goes through? 4? 5? Not sure if much upside left.,1,anyone say much svu would go even deal go sure much upside left
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong   ,1,nvda bounce continues stock cleared sma level ong
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,1,axti momentum picking w macd climbingsi risingobv indicator made new higher high week
GDOT OBV is moving upwards which means that big money is moving into the stock slowly. ong  ,1,gdot obv moving upwards mean big money moving stock slowly ong
aapl daily (see notes)  ,1,aapl daily see note
AMZN daily (see notes)  ,1,amzn daily see note
C daily (see notes)   ,1,c daily see note
"EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",1,egov long strong ma restingbasing room upper bolly absorb day atr
AA Fibs   Friends   ,1,aa fib friend
TSA: Judge Dismisses Massachusetts State Automobile Dealers Association awsuit -  ,1,tsa judge dismisses massachusetts state automobile dealer association awsuit
BAC up trending doesn't appear to slow down as of yet. It's prudent to take some profit at time.  ,1,bac trending doesnt appear slow yet prudent take profit time
"FE - looks like it fired a sell signal Friday, may trade this short on tick below Friday low - have to do more work on utilities later...",-1,fe look like fired sell signal friday may trade short tick friday low work utility later
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud  ,1,coh also got rejected cloud still slight uptrend past buy enters cloud
yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma  ,1,yum look good cloud stop either sma cloud target sma
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX  ,1,eqix expe fb g hog mon pii qcom qih soda idea next week favorite setup eqix
"EQIX No position, would like to see a breakout over 216.50. Prefer more consolidation though  ",1,eqix position would like see breakout prefer consolidation though
Time for a contraction in AAP.down to test 500 this week by Weds.long Jan11th 510/500 put spread  ,-1,time contraction aapdown test week wedslong janth put spread
AAP Bounce Coming?   ,1,aap bounce coming
FS en fuego!!   ,1,f en fuego
AXA Over-Sold in Oscillating ange....indicators suggest buy price holds above prev close + increase in volume.,1,axa oversold oscillating angeindicators suggest buy price hold prev close increase volume
A few I'm not holding but will check out. user: Bullish MACD cross: BBG COP ENI EOG JEC IG SFY XE XOP,1,im holding check user bullish macd cross bbg cop eni eog jec ig sfy xe xop
"JDS beautiful trend, 13.5 should bring out the dip buyers",1,jds beautiful trend bring dip buyer
ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38  ,-1,ko trouble staying day sma past week could short higher stop
mako a red day monday breaks support and could test old lows of 9-9.25  ,-1,mako red day monday break support could test old low
After-hour Most Advanced: OPT MAKO FOD GNMK JDS EGE AMN PX AAY DDD SV PM BKS F,1,afterhour advanced opt mako fod gnmk jds ege amn px aay ddd sv pm bk f
GOOG with simple Fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802  ,1,goog simple fibonacci projection close
Why I am buying AAP on Monday -  ,1,buying aap monday
user: AMZN over 263 has a Measured Move to 307  ,1,user amzn measured move
user The INO pipeline and the partnerships with the ni's and MK--that pretty much sums it up...,1,user ino pipeline partnership ni mkthat pretty much sum
"AMZN the data company, not the retailer.  A new post by me.   ",1,amzn data company retailer new post
Trading environment favors long side. Don't over stay welcome. Too few quality leaders. GS AMH OCN EGN HOV AAP  ,-1,trading environment favor long side dont stay welcome quality leader g amh ocn egn hov aap
AAP what an amazing run it has been since 2005. I don't think it's over.   ,1,aap amazing run since dont think
A Tale of Two Stocks  AAP GOOG SPY QQQ,1,tale two stock aap goog spy qqq
F Ford's Powerful Bullish Pattern Dictates Price Direction  ,1,f ford powerful bullish pattern dictate price direction
DT - Descending triangle. ower highs. Didn't participate well in the rally & it's overbought.   ,-1,dt descending triangle ower high didnt participate well rally overbought
CVA Over 19.00  ,1,cva
MCK  Over 100.05 -   ,1,mck
VMED you know we prefer 3-4 day pullback to reverse so maybe Mon or Tuesday on flag break or at sup  ,1,vmed know prefer day pullback reverse maybe mon tuesday flag break sup
"Just kidding, more legible version. Currently long FS (tweeted on friday)  ",1,kidding legible version currently long f tweeted friday
Ford will perform well due to Hurricane Sandy's destruction. F Palladium will do well PA Banks are a buy picks are BAC C SAN GS,1,ford perform well due hurricane sandys destruction f palladium well pa bank buy pick bac c san g
GS is a buy on pullback to 133 or on bigger pullback to 130.,1,g buy pullback bigger pullback
CEG keep it on you watch list.,1,ceg keep watch list
I wish TV would die already like all the Newspapers told me  CBS ftw!,1,wish tv would die already like newspaper told cbs ftw
I think AAP is heading back down to check in on 506 support again,-1,think aap heading back check support
AMZN but but but.....yap yap yap,1,amzn butyap yap yap
SNDK pattern looking more interesting. Can it successfully break into the gap this time around?  ,1,sndk pattern looking interesting successfully break gap time around
